contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
TLL34_k99_150957	7388	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_24451	13226	No	NA	22	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_43632	5113	Yes	1148	7	2	3	Low-quality	Genome-fragment	3.01	AAI-based (high-confidence)	77.55	1.0	
TLL34_k99_70035	9011	No	NA	17	0	0	Low-quality	Genome-fragment	23.64	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_121544	21323	No	NA	39	11	0	Medium-quality	Genome-fragment	54.83	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_3139	6019	No	NA	7	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_3430	7778	No	NA	22	3	0	Low-quality	Genome-fragment	11.78	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_3728	26183	No	NA	33	23	0	Medium-quality	Genome-fragment	55.49	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_6510	37372	No	NA	48	4	0	Low-quality	Genome-fragment	17.21	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_8212	8688	No	NA	14	4	0	Low-quality	Genome-fragment	21.89	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_10292	12322	No	NA	24	7	1	Low-quality	Genome-fragment	34.42	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_15669	7561	No	NA	4	0	0	Low-quality	Genome-fragment	19.05	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_17632	9840	No	NA	16	9	0	Low-quality	Genome-fragment	22.26	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_18498	20875	Yes	18753	25	12	3	Low-quality	Genome-fragment	27.08	AAI-based (high-confidence)	10.17	1.0	
TLL34_k99_20262	6087	No	NA	9	7	0	Low-quality	Genome-fragment	16.36	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_20762	5090	No	NA	8	2	0	Low-quality	Genome-fragment	11.65	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_21624	5526	No	NA	1	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_23551	5414	Yes	4700	5	2	2	Low-quality	Genome-fragment	1.17	AAI-based (high-confidence)	13.19	1.0	
TLL34_k99_25337	6300	No	NA	8	5	0	Low-quality	Genome-fragment	10.74	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_26217	5584	No	NA	5	3	0	Low-quality	Genome-fragment	13.71	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_27590	23161	No	NA	28	2	1	Low-quality	Genome-fragment	20.24	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_29663	5688	No	NA	4	1	0	Low-quality	Genome-fragment	12.86	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_31966	8275	No	NA	17	4	0	Low-quality	Genome-fragment	19.2	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_34862	5240	No	NA	6	0	0	Low-quality	Genome-fragment	7.36	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_39766	16566	No	NA	20	7	0	Medium-quality	Genome-fragment	57.43	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_41482	9980	No	NA	13	6	1	Low-quality	Genome-fragment	15.29	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_45764	19742	Yes	15265	31	9	4	Low-quality	Genome-fragment	36.71	AAI-based (high-confidence)	22.68	1.0	
TLL34_k99_48660	10063	No	NA	14	3	0	Low-quality	Genome-fragment	34.88	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_51437	5408	No	NA	15	2	0	Low-quality	Genome-fragment	13.49	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_53757	8809	No	NA	11	4	0	Low-quality	Genome-fragment	16.48	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_56903	7710	No	NA	8	0	1	Low-quality	Genome-fragment	14.57	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_61834	6151	No	NA	2	0	0	Low-quality	Genome-fragment	5.26	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_62765	18314	No	NA	23	8	1	Low-quality	Genome-fragment	37.86	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_65099	15603	No	NA	19	6	0	Low-quality	Genome-fragment	35.18	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_66937	17955	No	NA	35	7	0	Low-quality	Genome-fragment	39.1	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_80245	11235	No	NA	12	8	0	Low-quality	Genome-fragment	23.77	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_82402	6415	Yes	5251	7	1	1	Low-quality	Genome-fragment	3.13	AAI-based (high-confidence)	18.14	1.0	
TLL34_k99_82438	5277	No	NA	8	5	0	Low-quality	Genome-fragment	10.21	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_95003	5361	No	NA	7	1	0	High-quality	High-quality	90.55	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_104110	12696	No	NA	10	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_105235	7071	Yes	2893	8	1	1	Low-quality	Genome-fragment	4.14	AAI-based (medium-confidence)	59.09	1.0	
TLL34_k99_112427	7397	No	NA	3	3	0	Low-quality	Genome-fragment	11.12	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_128479	7009	No	NA	12	4	0	Low-quality	Genome-fragment	8.14	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_129368	7515	No	NA	10	1	0	Low-quality	Genome-fragment	17.65	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_131749	12530	No	NA	12	8	0	Low-quality	Genome-fragment	27.59	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_132314	5501	No	NA	7	1	0	Low-quality	Genome-fragment	2.96	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_132520	5889	Yes	4647	9	1	1	Low-quality	Genome-fragment	8.27	HMM-based (lower-bound)	21.09	1.0	
TLL34_k99_140564	6041	No	NA	9	7	1	Low-quality	Genome-fragment	11.06	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_144015	5349	No	NA	11	0	0	Low-quality	Genome-fragment	8.06	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_150893	8415	Yes	4643	10	3	1	Low-quality	Genome-fragment	4.48	HMM-based (lower-bound)	44.82	1.01	low-confidence DTR
TLL34_k99_152570	10232	Yes	5143	17	4	2	Low-quality	Genome-fragment	12.94	AAI-based (high-confidence)	49.74	1.0	
TLL34_k99_153210	8054	No	NA	11	5	0	Low-quality	Genome-fragment	17.28	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_154374	10409	No	NA	14	4	0	Low-quality	Genome-fragment	20.4	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_157522	6934	No	NA	11	2	0	Low-quality	Genome-fragment	24.04	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_163724	30582	No	NA	49	16	1	Medium-quality	Genome-fragment	70.21	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_169843	5066	No	NA	13	3	0	Low-quality	Genome-fragment	10.24	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_185942	21691	No	NA	27	5	1	Medium-quality	Genome-fragment	51.83	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_188718	8756	No	NA	9	6	0	Low-quality	Genome-fragment	14.57	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_198652	7442	No	NA	12	2	0	Low-quality	Genome-fragment	19.04	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_209589	5748	No	NA	2	0	1	Low-quality	Genome-fragment	14.04	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL34_k99_211181	6959	No	NA	5	1	0	Low-quality	Genome-fragment	21.44	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_220935	7036	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_232427	5350	No	NA	8	1	0	Low-quality	Genome-fragment	10.86	AAI-based (high-confidence)	0.0	1.01	
TLL34_k99_232711	9013	No	NA	6	4	1	Low-quality	Genome-fragment	5.39	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_233995	30101	No	NA	37	9	1	Medium-quality	Genome-fragment	63.42	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_242201	7505	No	NA	18	3	1	Low-quality	Genome-fragment	23.1	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_248127	6007	No	NA	11	1	0	Low-quality	Genome-fragment	11.69	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_248733	7242	No	NA	11	1	0	Low-quality	Genome-fragment	4.69	HMM-based (lower-bound)	0.0	1.0	
TLL34_k99_256975	12911	No	NA	20	4	0	Low-quality	Genome-fragment	29.71	AAI-based (medium-confidence)	0.0	1.0	
TLL34_k99_44794_provirus_10476_26884	16409	Yes	15241	21	2	2	Low-quality	Genome-fragment	33.24	AAI-based (high-confidence)	7.12	1.0	
TLL34_k99_194122_provirus_3_15688	15686	No	NA	16	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_41731_provirus_3_19825	19823	No	NA	36	12	0	Medium-quality	Genome-fragment	57.09	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_104603_provirus_3064_8427	5364	No	NA	13	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL34_k99_100952_provirus_2_7793	7792	No	NA	7	2	0	Low-quality	Genome-fragment	21.54	AAI-based (high-confidence)	0.0	1.0	
TLL34_k99_237007_provirus_15098_24090	8993	No	NA	14	3	0	Low-quality	Genome-fragment	22.18	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_252722	17327	No	NA	22	4	0	Low-quality	Genome-fragment	9.18	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_31791	28130	No	NA	43	17	0	Medium-quality	Genome-fragment	60.81	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_91444	12209	No	NA	19	9	0	Low-quality	Genome-fragment	34.83	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_133029	7694	No	NA	9	0	6	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_73138	45141	Yes	32890	56	11	7	Complete	High-quality	100.0	Provirus (medium-confidence)	27.14	1.0	
TLL35_k99_36404	12473	No	NA	12	10	0	Low-quality	Genome-fragment	26.48	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_12331	16556	No	NA	39	1	1	Low-quality	Genome-fragment	9.11	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_24802	45284	No	NA	39	14	0	Low-quality	Genome-fragment	27.35	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_127007	5964	No	NA	5	0	0	Low-quality	Genome-fragment	3.74	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_134166	29915	No	NA	68	1	0	Low-quality	Genome-fragment	16.58	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_141819	22335	No	NA	26	3	1	Low-quality	Genome-fragment	15.01	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_146859	12890	No	NA	29	6	1	Low-quality	Genome-fragment	14.09	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_191335	12914	No	NA	27	3	0	Low-quality	Genome-fragment	7.79	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_263093	7001	No	NA	7	4	0	Low-quality	Genome-fragment	4.64	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_297174	9392	No	NA	28	2	0	Low-quality	Genome-fragment	9.27	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_370824	7286	No	NA	24	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_24034	10800	Yes	6417	11	6	3	Low-quality	Genome-fragment	14.1	AAI-based (high-confidence)	40.58	1.0	
TLL35_k99_139356	9025	No	NA	16	5	1	Low-quality	Genome-fragment	19.99	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_50402	6916	No	NA	12	1	0	Low-quality	Genome-fragment	6.72	HMM-based (lower-bound)	0.0	1.0	
TLL35_k99_115537	23182	No	NA	34	22	0	Medium-quality	Genome-fragment	50.73	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_221668	5512	No	NA	6	0	5	Low-quality	Genome-fragment	2.6	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_228739	7823	No	NA	12	9	0	Low-quality	Genome-fragment	19.75	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_23539	16793	No	NA	24	8	0	Low-quality	Genome-fragment	49.55	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_46321	6090	No	NA	8	4	0	Low-quality	Genome-fragment	14.76	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_116936	10261	No	NA	10	2	4	Low-quality	Genome-fragment	28.07	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_69397	12478	No	NA	18	5	0	Low-quality	Genome-fragment	24.73	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_73141	22783	No	NA	30	18	0	Low-quality	Genome-fragment	48.74	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_147686	19532	No	NA	25	14	0	Medium-quality	Genome-fragment	54.44	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_232369	7470	No	NA	11	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_21361	10433	No	NA	12	1	1	Low-quality	Genome-fragment	23.7	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_23688	17376	No	NA	26	2	2	High-quality	High-quality	91.18	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_81449	12721	No	NA	18	16	0	Low-quality	Genome-fragment	31.06	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_167004	5171	No	NA	13	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_231268	7060	No	NA	14	2	0	Low-quality	Genome-fragment	11.8	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_315429	5891	No	NA	10	0	4	Low-quality	Genome-fragment	11.13	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_230771	5527	No	NA	14	2	0	Low-quality	Genome-fragment	15.84	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_31051	8226	No	NA	8	5	0	Low-quality	Genome-fragment	21.09	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_216123	7249	No	NA	9	4	0	Low-quality	Genome-fragment	19.91	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_361691	12721	No	NA	17	5	0	Low-quality	Genome-fragment	37.29	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_728	15751	No	NA	23	2	1	Low-quality	Genome-fragment	39.15	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_179781	14740	Yes	8044	26	4	3	Low-quality	Genome-fragment	20.49	AAI-based (high-confidence)	45.43	1.0	
TLL35_k99_61382	7974	No	NA	17	7	0	Low-quality	Genome-fragment	17.56	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_108173	8696	No	NA	8	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_221081	17382	No	NA	28	20	0	Low-quality	Genome-fragment	37.78	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_253785	31484	Yes	23115	40	15	5	Medium-quality	Genome-fragment	63.21	AAI-based (high-confidence)	26.58	1.0	
TLL35_k99_4471	18614	No	NA	32	8	1	Medium-quality	Genome-fragment	50.46	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_155685	11388	No	NA	14	5	0	Low-quality	Genome-fragment	30.47	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_27638	9056	No	NA	11	0	0	Low-quality	Genome-fragment	6.21	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_55809	6040	No	NA	4	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_18056	5068	No	NA	9	6	0	Low-quality	Genome-fragment	13.5	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_61489	6683	No	NA	10	0	4	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_12046	5745	No	NA	6	4	0	Low-quality	Genome-fragment	12.34	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_29832	12605	No	NA	28	1	0	Low-quality	Genome-fragment	15.66	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_72012	16039	No	NA	23	4	3	Low-quality	Genome-fragment	19.96	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_104306	11853	No	NA	12	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_120221	11662	No	NA	16	5	0	Low-quality	Genome-fragment	28.0	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_157592	35953	No	NA	49	10	0	Low-quality	Genome-fragment	44.69	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_165587	7543	No	NA	8	3	0	Low-quality	Genome-fragment	12.53	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_170152	5438	No	NA	12	3	0	Low-quality	Genome-fragment	14.53	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_174476	11986	No	NA	22	5	1	Low-quality	Genome-fragment	14.87	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_178315	10401	No	NA	17	2	0	Low-quality	Genome-fragment	23.15	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_191919	13151	No	NA	23	11	0	Low-quality	Genome-fragment	32.98	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_204541	5899	No	NA	3	0	2	Low-quality	Genome-fragment	13.03	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_214946	14805	No	NA	9	1	0	Low-quality	Genome-fragment	10.23	HMM-based (lower-bound)	0.0	1.0	
TLL35_k99_335403	7816	No	NA	9	2	1	Low-quality	Genome-fragment	11.51	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_233873	6665	No	NA	13	2	0	Low-quality	Genome-fragment	17.87	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_197646	6849	No	NA	14	3	0	Low-quality	Genome-fragment	19.22	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_238352	5669	No	NA	9	4	0	Low-quality	Genome-fragment	10.89	HMM-based (lower-bound)	0.0	1.0	
TLL35_k99_112575	7326	No	NA	7	0	5	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_46807	5365	No	NA	7	2	0	Low-quality	Genome-fragment	14.31	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_85466	19683	No	NA	14	3	0	Medium-quality	Genome-fragment	52.5	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_234112	7433	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.03	no viral genes detected
TLL35_k99_373443	5859	No	NA	9	1	0	Low-quality	Genome-fragment	7.93	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_215763	5444	No	NA	9	1	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	
TLL35_k99_220252	8670	No	NA	12	7	2	Low-quality	Genome-fragment	12.6	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_95152	15384	Yes	9517	17	3	3	Low-quality	Genome-fragment	22.88	AAI-based (high-confidence)	38.14	1.0	
TLL35_k99_141239	10554	Yes	2570	8	1	3	Low-quality	Genome-fragment	1.65	HMM-based (lower-bound)	75.65	1.0	
TLL35_k99_313873	5180	No	NA	2	0	1	Low-quality	Genome-fragment	3.03	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_21595	17010	No	NA	21	13	0	Low-quality	Genome-fragment	42.7	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_86876	21713	No	NA	18	3	2	Low-quality	Genome-fragment	35.65	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_222552	13073	No	NA	9	1	0	Low-quality	Genome-fragment	28.75	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_313926	6749	No	NA	11	0	0	Low-quality	Genome-fragment	15.27	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_66555	7168	No	NA	7	1	0	Low-quality	Genome-fragment	6.98	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_138067	5505	No	NA	4	0	0	Low-quality	Genome-fragment	5.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_274919	6494	No	NA	3	0	1	Low-quality	Genome-fragment	6.34	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_84173	7647	No	NA	11	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_147018	10487	No	NA	11	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_300994	8289	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_1412	18488	Yes	12094	33	3	4	Low-quality	Genome-fragment	18.73	AAI-based (high-confidence)	34.58	1.0	
TLL35_k99_152835	8159	No	NA	2	0	2	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_277895	10723	No	NA	14	5	0	Low-quality	Genome-fragment	21.71	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_22432	5638	No	NA	5	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_50168	5483	No	NA	9	6	0	Low-quality	Genome-fragment	10.02	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_127660	6598	No	NA	5	3	0	Low-quality	Genome-fragment	11.75	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_161794	9399	Yes	839	9	1	3	Low-quality	Genome-fragment	1.01	HMM-based (lower-bound)	91.07	1.0	
TLL35_k99_224586	7548	No	NA	17	5	0	Low-quality	Genome-fragment	20.79	AAI-based (high-confidence)	0.0	1.02	
TLL35_k99_267759	6601	No	NA	6	3	1	Low-quality	Genome-fragment	15.41	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_81626	8097	No	NA	11	5	0	Low-quality	Genome-fragment	15.18	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_6773	7949	No	NA	8	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_53863	7662	No	NA	11	1	2	Low-quality	Genome-fragment	3.3	HMM-based (lower-bound)	0.0	1.0	
TLL35_k99_111506	19044	No	NA	33	5	0	Low-quality	Genome-fragment	31.26	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_177472	5332	No	NA	10	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_454	18526	No	NA	30	5	0	Low-quality	Genome-fragment	40.02	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_3281	6344	No	NA	12	1	0	Low-quality	Genome-fragment	12.06	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_7969	7476	No	NA	3	0	0	Low-quality	Genome-fragment	3.4	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_8025	13370	No	NA	24	4	0	Low-quality	Genome-fragment	32.81	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_8466	13883	No	NA	31	8	0	Low-quality	Genome-fragment	21.22	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_9275	8072	No	NA	3	0	0	Low-quality	Genome-fragment	8.47	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_10340	9862	No	NA	13	8	1	Low-quality	Genome-fragment	20.14	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_13312	22058	No	NA	32	22	0	Medium-quality	Genome-fragment	68.97	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_14464	18217	No	NA	40	2	1	Low-quality	Genome-fragment	13.61	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_17992	9748	No	NA	14	8	0	Low-quality	Genome-fragment	18.54	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_18973	9640	No	NA	11	0	1	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_21277	8429	No	NA	23	3	0	Low-quality	Genome-fragment	13.18	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_23207	13889	No	NA	31	3	0	Low-quality	Genome-fragment	16.62	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_23671	5008	No	NA	4	0	3	Not-determined	Genome-fragment	NA	NA	0.0	1.04	no viral genes detected
TLL35_k99_24302	60248	Yes	55817	57	15	2	Low-quality	Genome-fragment	40.82	AAI-based (high-confidence)	7.35	1.0	
TLL35_k99_26094	9995	No	NA	15	0	2	Low-quality	Genome-fragment	21.43	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_27107	11244	No	NA	15	1	1	Low-quality	Genome-fragment	12.95	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_28223	14986	No	NA	10	2	0	Low-quality	Genome-fragment	15.73	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_29313	32402	No	NA	31	22	0	Low-quality	Genome-fragment	40.26	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_30487	7204	No	NA	3	0	0	Low-quality	Genome-fragment	19.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_31373	10380	No	NA	6	1	1	Low-quality	Genome-fragment	18.56	AAI-based (medium-confidence)	0.0	1.0	
TLL35_k99_33829	24782	No	NA	34	10	0	Medium-quality	Genome-fragment	53.64	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_35464	31212	No	NA	52	24	0	Medium-quality	Genome-fragment	50.57	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_41946	12261	No	NA	23	7	0	Low-quality	Genome-fragment	10.77	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_43155	5495	No	NA	3	1	0	Low-quality	Genome-fragment	8.62	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_44133	25973	No	NA	39	6	0	Low-quality	Genome-fragment	40.65	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_48577	8681	No	NA	8	7	0	Low-quality	Genome-fragment	18.45	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_51789	18470	No	NA	24	6	1	Low-quality	Genome-fragment	16.95	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_54105	5123	No	NA	2	0	2	Low-quality	Genome-fragment	2.26	AAI-based (medium-confidence)	0.0	1.0	no viral genes detected
TLL35_k99_54678	6335	No	NA	16	1	0	Low-quality	Genome-fragment	7.12	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_55701	26447	No	NA	47	12	1	Medium-quality	Genome-fragment	55.74	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_58052	10799	No	NA	3	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
TLL35_k99_58864	11973	No	NA	15	14	0	Low-quality	Genome-fragment	10.51	AAI-based (high-confidence)	0.0	1.0	
TLL35_k99_60201	6130	Yes	5536	8	2	1	Low-quality	Genome-fragment	8.83	HMM-based (lower-bound)	9.69	1.0	
